"director_name","num_critic_for_reviews","duration","director_facebook_likes","actor_3_facebook_likes","actor_2_name","actor_1_facebook_likes","gross","actor_1_name","movie_title","num_voted_users","cast_total_facebook_likes","actor_3_name","num_user_for_reviews","content_rating","budget","title_year","actor_2_facebook_likes","imdb_score","movie_facebook_likes","genres"
"Betty Thomas",105,97,84,150,"Phill Lewis",989,33105600,"Gary Cole","I Spy ",41663,1576,"Tate Taylor",141,"PG-13",7e+07,2002,229,5.4,531,"Comedy_Thriller_Action"
"Måns Mårlind",242,88,24,324,"Stephen Rea",5000,62321039,"Theo James","Underworld: Awakening ",117096,5861,"Sandrine Holt",271,"R",7e+07,2012,327,6.4,24000,"Thriller_Action"
"Adam Shankman",360,136,163,66,"Shane Hartline",394,38509342,"James Martin Kelly","Rock of Ages ",61995,712,"Celina Beach",356,"PG-13",7.5e+07,2012,217,5.9,33000,"Romance_Comedy_Drama"
"Gregory Hoblit",112,125,40,407,"Cole Hauser",13000,19076815,"Bruce Willis","Hart's War ",43651,15916,"Rory Cochrane",196,"R",6e+07,2002,787,6.3,997,"Drama_Action"
"John McTiernan",151,98,323,390,"Chris Klein",1000,18990542,"LL Cool J","Rollerball ",22264,2763,"Andrew Bryniarski",289,"R",7e+07,2002,841,3,584,"Action"
"Wych Kaosayananda",92,91,8,298,"Sandrine Holt",349,14294842,"Talisa Soto","Ballistic: Ecks vs. Sever ",16761,1846,"Gregg Henry",277,"R",7e+07,2002,324,3.6,391,"Thriller_Crime_Action"
"Mikael Salomon",79,97,13,695,"Minnie Driver",11000,19819494,"Morgan Freeman","Hard Rain ",26893,13628,"Randy Quaid",126,"R",7e+07,1998,893,5.8,815,"Drama_Thriller_Crime_Action"
"Bobby Farrelly",81,95,101,443,"Brandy Norwood",2000,13596911,"Ron Howard","Osmosis Jones ",25572,3734,"David Hyde Pierce",123,"PG",7e+07,2001,509,6.2,2000,"Comedy_Crime_Action"
"Will Finn",51,88,6,854,"Oliver Platt",2000,8460990,"Lea Michele","Legends of Oz: Dorothy's Return ",5116,6946,"Jim Belushi",54,"PG",7e+07,2013,1000,5.6,5000,"Action"
"Michael Mann",261,133,0,301,"Archie Kao",26000,7097125,"Chris Hemsworth","Blackhat ",38983,28129,"Brandon Molale",207,"R",7e+07,2015,326,5.4,11000,"Drama_Thriller_Crime_Action"
"Kerry Conran",197,106,14,582,"Laurence Olivier",11000,37760080,"Angelina Jolie Pitt","Sky Captain and the World of Tomorrow ",72868,12871,"Bai Ling",618,"PG",7e+07,2004,1000,6.1,0,"Thriller_Crime_Action"
"Mikael Håfström",286,115,101,585,"50 Cent",13000,25121291,"Sylvester Stallone","Escape Plan ",177653,15708,"Matt Gerald",279,"R",5e+07,2013,1000,6.7,34000,"Thriller_Crime_Action"
"Renny Harlin",156,99,212,182,"Luke Newberry",576,18821279,"Roxanne McKee","The Legend of Hercules ",44891,1520,"Gaia Weiss",202,"PG-13",7e+07,2014,358,4.2,12000,"Action"
"Phil Alden Robinson",176,124,31,497,"Bruce McGill",11000,118471320,"Morgan Freeman","The Sum of All Fears ",86504,12556,"Philip Baker Hall",568,"PG-13",6.8e+07,2002,655,6.4,0,"Drama_Thriller_Action"
"David Slade",293,124,171,10000,"Kristen Stewart",21000,300523113,"Robert Pattinson","The Twilight Saga: Eclipse ",184637,52547,"Anna Kendrick",498,"PG-13",6.8e+07,2010,17000,4.9,29000,"Romance_Drama_Action"
"Frank Oz",141,124,0,580,"Marlon Brando",22000,71069884,"Robert De Niro","The Score ",101899,32871,"Gary Farmer",445,"R",6.8e+07,2001,10000,6.8,0,"Drama_Thriller_Crime"
"Pierre Coffin",304,87,275,975,"Miranda Cosgrove",7000,251501645,"Steve Carell","Despicable Me ",385943,11608,"Jack McBrayer",296,"PG",6.9e+07,2010,2000,7.7,31000,"Comedy"
"Seth MacFarlane",280,125,3000,3000,"Morgan Freeman",14000,81257500,"Liam Neeson","Ted 2 ",117739,30010,"Seth MacFarlane",229,"R",6.8e+07,2015,11000,6.4,30000,"Comedy"
"Kinka Usher",125,121,18,776,"Wes Studi",1000,29655590,"Janeane Garofalo","Mystery Men ",53970,3986,"Eddie Izzard",435,"PG-13",6.5e+07,1999,855,6,0,"Comedy_Action"
"Bobby Farrelly",237,111,101,681,"Larry Joe Campbell",966,45045037,"Jenna Fischer","Hall Pass ",103230,3393,"Stephen Merchant",143,"R",3.6e+07,2011,919,5.9,10000,"Romance_Comedy"
"Michael Mann",209,157,0,680,"Rip Torn",14000,28965197,"Al Pacino","The Insider ",133526,18216,"Debi Mazar",521,"R",6.8e+07,1999,826,7.9,0,"Drama_Thriller"
"Ridley Scott",238,128,0,135,"Simon McBurney",29000,39380442,"Leonardo DiCaprio","Body of Lies ",174248,29824,"Michael Gaston",263,"R",7e+07,2008,149,7.1,0,"Drama_Thriller_Action"
"Timur Bekmambetov",393,105,335,911,"Dominic Cooper",3000,37516013,"Rufus Sewell","Abraham Lincoln: Vampire Hunter ",128629,8281,"Benjamin Walker",348,"R",6.9e+07,2012,3000,5.9,98000,"Thriller_Action"
"Rob Bowman",142,121,38,745,"Mitch Pileggi",940,83892374,"Martin Landau","The X Files ",85720,4230,"Jeffrey DeMunn",297,"PG-13",6.6e+07,1998,826,7,0,"Drama_Thriller_Crime_Action"
"Steven Spielberg",219,169,14000,13000,"Vin Diesel",15000,216119491,"Tom Hanks","Saving Private Ryan ",881236,44998,"Matt Damon",2277,"R",7e+07,1998,14000,8.6,22000,"Drama_Action"
"Scott Waugh",327,132,76,464,"Dominic Cooper",3000,43568507,"Rami Malek","Need for Speed ",136954,7081,"Ramon Rodriguez",346,"PG-13",6.6e+07,2014,3000,6.5,32000,"Drama_Thriller_Crime_Action"
"Nancy Meyers",149,127,278,912,"Lisa Edelstein",2000,182805123,"Judy Greer","What Women Want ",158864,5838,"Loretta Devine",395,"PG-13",7e+07,2000,955,6.4,0,"Romance_Comedy_Action"
"Chris Wedge",193,103,77,835,"Stephen Root",1000,176387405,"Goran Visnjic","Ice Age ",328159,5437,"Denis Leary",467,"PG",5.9e+07,2002,939,7.6,3000,"Comedy_Action"
"Lawrence Kasdan",175,136,759,354,"Michael O'Neill",11000,33685268,"Morgan Freeman","Dreamcatcher ",75573,12194,"Reece Thompson",662,"R",6.8e+07,2003,599,5.5,4000,"Drama_Thriller_Action"
"Steven Spielberg",538,150,14000,655,"Hal Holbrook",23000,182204440,"Joseph Gordon-Levitt","Lincoln ",197412,25517,"Bruce McGill",720,"PG-13",6.5e+07,2012,826,7.4,71000,"Drama_Action"
"Lana Wachowski",313,136,0,99,"Marcus Chong",18000,171383253,"Keanu Reeves","The Matrix ",1217752,18563,"Gloria Foster",3646,"R",6.3e+07,1999,145,8.7,25000,"Action"
"Ron Howard",159,140,2000,552,"Miko Hughes",15000,172071312,"Tom Hanks","Apollo 13 ",208817,17171,"Kathleen Quinlan",296,"PG",6.2e+07,1995,968,7.6,5000,"Drama_Action"
"Paul Verhoeven",196,113,719,217,"Rachel Ticotin",605,119412921,"Ronny Cox","Total Recall ",240241,1441,"Marshall Bell",391,"R",6.5e+07,1990,308,7.5,0,"Action"
"Michael Lembeck",80,104,54,775,"Aisha Tyler",901,139225854,"Judge Reinhold","The Santa Clause 2 ",34561,5265,"Eric Lloyd",116,"G",6e+07,2002,857,5.5,1000,"Comedy_Action"
"Tom Hooper",488,158,0,11000,"Eddie Redmayne",20000,148775460,"Hugh Jackman","Les Misérables ",243834,46204,"Anne Hathaway",845,"PG-13",6.1e+07,2012,13000,7.6,144000,"Romance_Drama"
"Nora Ephron",153,119,0,744,"Jean Stapleton",15000,115731542,"Tom Hanks","You've Got Mail ",151812,17768,"Dave Chappelle",556,"PG",6.5e+07,1998,793,6.5,0,"Romance_Comedy_Drama"
"Adam McKay",173,106,285,105,"Adam Scott",8000,100468793,"Will Ferrell","Step Brothers ",212499,11264,"Andrea Savage",277,"R",6.5e+07,2008,3000,6.9,0,"Comedy"
"Todd Phillips",307,95,480,490,"RZA",21000,100448498,"Robert Downey Jr.","Due Date ",272789,23018,"Matt Walsh",285,"R",6.5e+07,2010,561,6.6,25000,"Comedy_Drama"
"Angelina Jolie Pitt",322,137,11000,465,"Jack O'Connell",769,115603980,"Finn Wittrock","Unbroken ",103589,2938,"Alex Russell",351,"PG-13",6.5e+07,2014,698,7.2,35000,"Drama_Action"
"Renny Harlin",74,124,212,369,"Leon",13000,84049211,"Sylvester Stallone","Cliffhanger ",96096,15229,"Janine Turner",172,"R",7e+07,1993,730,6.4,0,"Thriller_Action"
"John Woo",72,108,610,461,"Samantha Mathis",848,70450000,"Delroy Lindo","Broken Arrow ",77390,2913,"Bob Gunton",189,"R",5e+07,1996,517,6,0,"Thriller_Crime_Action"
"Jon Turteltaub",86,104,226,577,"Lily Tomlin",13000,69688384,"Bruce Willis","The Kid ",34473,16452,"Daniel von Bargen",139,"PG",6e+07,2000,718,6.1,0,"Comedy_Action"
"Oliver Stone",242,129,0,625,"Jay Hernandez",12000,70236496,"Nicolas Cage","World Trade Center ",67395,14421,"Armando Riesco",564,"PG-13",6.3e+07,2006,1000,6,0,"Drama_Thriller"
"Mike Newell",141,117,179,403,"Kirsten Dunst",8000,63695760,"Julia Roberts","Mona Lisa Smile ",61490,12850,"Marian Seldes",264,"PG-13",6.5e+07,2003,4000,6.4,0,"Drama"
"Larry Charles",313,99,119,174,"Aasif Mandvi",600,59617068,"Sayed Badreya","The Dictator ",213863,1375,"Horatio Sanz",310,"R",6.5e+07,2012,346,6.4,59000,"Romance_Comedy"
"Will Gluck",176,118,87,929,"Dorian Missick",2000,85911262,"Quvenzhané Wallis","Annie ",24735,4796,"David Zayas",213,"PG",6.5e+07,2014,1000,5.2,16000,"Comedy_Drama"
"McG",241,103,368,520,"Abigail Spencer",27000,54758461,"Tom Hardy","This Means War ",147641,29808,"Warren Christie",238,"PG-13",6.5e+07,2012,1000,6.3,18000,"Romance_Comedy_Action"
"David S. Goyer",185,122,687,957,"Natasha Lyonne",16000,52397389,"Ryan Reynolds","Blade: Trinity ",132954,19764,"John Michael Higgins",514,"R",6.5e+07,2004,1000,5.9,0,"Thriller_Action"
"Paul W.S. Anderson",230,111,545,805,"Max Ryan",26000,36064910,"Jason Statham","Death Race ",166610,28643,"Joan Allen",211,"R",4.5e+07,2008,872,6.4,0,"Thriller_Action"
"Renny Harlin",94,121,212,263,"Craig Bierko",394,33328051,"Melina Kanakaredes","The Long Kiss Goodnight ",60508,1531,"Yvonne Zima",285,"R",6.5e+07,1996,380,6.7,4000,"Drama_Thriller_Crime_Action"
"Taylor Hackford",134,135,138,184,"Alun Armstrong",324,32598931,"Pamela Reed","Proof of Life ",49300,1013,"Michael Kitchen",265,"R",6.5e+07,2000,192,6.2,892,"Drama_Thriller_Action"
"Jon Favreau",136,101,4000,539,"Josh Hutcherson",17000,28045540,"Kristen Stewart","Zathura: A Space Adventure ",67707,32232,"Jonah Bobo",202,"PG",6.5e+07,2005,14000,6.1,0,"Comedy_Action"
"David Fincher",315,151,21000,637,"Meat Loaf",11000,37023395,"Brad Pitt","Fight Club ",1347461,13209,"Eugenie Bondurant",2968,"R",6.3e+07,1999,783,8.8,48000,"Drama"
"McG",96,131,368,383,"Kimberly Williams-Paisley",11000,43532294,"Matthew McConaughey","We Are Marshall ",46951,12088,"Brian Geraghty",175,"PG",6.5e+07,2006,529,7.1,0,"Drama"
"Michael Lehmann",60,100,36,554,"James Coburn",13000,17218080,"Bruce Willis","Hudson Hawk ",43376,15944,"Richard E. Grant",249,"R",7e+07,1991,773,5.7,0,"Comedy_Action"
"Jay Roach",194,94,116,481,"Josh Zuckerman",645,213079163,"Verne Troyer","Austin Powers in Goldmember ",162909,2725,"Robert Wagner",795,"PG-13",6.3e+07,2002,522,6.2,0,"Comedy_Crime_Action"
"Steven Spielberg",308,127,14000,191,"Ariana Richards",967,356784000,"Wayne Knight","Jurassic Park ",613473,2129,"Bob Peck",895,"PG-13",6.3e+07,1993,610,8.1,19000,"Thriller_Action"
"Lawrence Kasdan",40,212,759,812,"Catherine O'Hara",2000,25052000,"Dennis Quaid","Wyatt Earp ",35314,5708,"Isabella Rossellini",145,"PG-13",6.3e+07,1994,925,6.6,0,"Drama_Crime_Action"
"Phillip Noyce",42,141,176,672,"Dean Jones",11000,122012710,"Harrison Ford","Clear and Present Danger ",69663,14178,"Raymond Cruz",133,"PG-13",6.2e+07,1994,913,6.9,0,"Drama_Thriller_Crime_Action"
"Keenen Ivory Wayans",78,98,322,723,"Brittany Daniel",979,58255287,"Chazz Palminteri","Littleman ",39471,6334,"John Witherspoon",187,"PG-13",6.4e+07,2006,862,4.3,0,"Comedy_Crime"
"Rob Reiner",75,114,0,452,"Samantha Mathis",524,65000000,"Shawna Waldron","The American President ",43027,2668,"Wendie Malick",214,"PG-13",6.2e+07,1995,517,6.8,0,"Romance_Comedy_Drama"
"Marco Schnabel",150,87,12,645,"Romany Malco",3000,32178777,"Justin Timberlake","The Love Guru ",43300,6658,"Verne Troyer",250,"PG-13",6.2e+07,2008,966,3.8,0,"Romance_Comedy"
"Demian Lichtenstein",113,125,11,867,"Bokeem Woodbine",11000,15738632,"Jon Lovitz","3000 Miles to Graceland ",38076,14536,"Ice-T",399,"R",4.2e+07,2001,904,5.9,0,"Comedy_Thriller_Crime_Action"
"Quentin Tarantino",596,187,16000,1000,"Jennifer Jason Leigh",46000,54116191,"Craig Stark","The Hateful Eight ",272839,49912,"Zoë Bell",1018,"R",4.4e+07,2015,1000,7.9,114000,"Drama_Thriller_Crime"
"Josh Gordon",191,93,8,970,"Amy Poehler",8000,118153533,"Will Ferrell","Blades of Glory ",129995,13232,"Jon Heder",246,"PG-13",6.1e+07,2007,1000,6.3,0,"Comedy"
"Tim Hill",156,95,25,439,"Elizabeth Perkins",989,108012170,"Gary Cole","Hop ",24089,2558,"Chelsea Handler",82,"PG",6.3e+07,2011,664,5.5,0,"Comedy_Action"
"Zack Snyder",460,117,0,447,"Michael Fassbender",18000,210592590,"Gerard Butler","300 ",607235,32360,"Vincent Regan",2073,"R",6.5e+07,2006,13000,7.7,13000,"Drama_Action"
"Jay Roach",141,106,116,708,"Blythe Danner",22000,279167575,"Robert De Niro","Meet the Fockers ",211296,24938,"Teri Polo",428,"PG-13",8e+07,2004,713,6.3,0,"Romance_Comedy"
"David Frankel",180,115,64,664,"Kathleen Turner",2000,143151473,"Eric Dane","Marley & Me ",116681,4811,"Haley Bennett",320,"PG",6e+07,2008,899,7.1,11000,"Comedy_Drama"
"Frank Darabont",186,189,0,693,"Jeffrey DeMunn",15000,136801374,"Tom Hanks","The Green Mile ",782610,17716,"Michael Jeter",1377,"R",6e+07,1999,745,8.5,30000,"Drama_Crime_Action"
"Mark Dindal",161,81,10,397,"Fred Willard",925,135381507,"Catherine O'Hara","Chicken Little ",63912,2252,"Amy Sedaris",251,"G",1.5e+08,2005,729,5.8,912,"Comedy_Action"
"David Fincher",568,149,21000,625,"Sela Ward",835,167735396,"Patrick Fugit","Gone Girl ",569841,4348,"Emily Ratajkowski",1127,"R",6.1e+07,2014,812,8.1,146000,"Drama_Thriller_Crime"
"Doug Liman",249,119,218,73,"Josh Hamilton",13000,121468960,"Matt Damon","The Bourne Identity ",407601,13249,"Nicky Naudé",849,"PG-13",6e+07,2002,147,7.9,0,"Thriller_Crime_Action"
"Simon West",113,116,165,475,"Timothy Hutton",577,102678089,"Daniel von Bargen","The General's Daughter ",42705,2321,"Clarence Williams III",274,"R",9.5e+07,1999,501,6.3,885,"Drama_Thriller_Crime"
"Peter Weir",213,103,608,576,"Noah Emmerich",2000,125603360,"Natascha McElhone","The Truman Show ",667983,3698,"Peter Krause",877,"PG",6e+07,1998,617,8.1,18000,"Comedy_Drama_Action"
"Brenda Chapman",120,99,59,145,"Aria Noelle Curzon",770,101217900,"Martin Short","The Prince of Egypt ",91093,1195,"Eden Riegel",353,"PG",7e+07,1998,263,7,0,"Drama_Action"
"Steve Carr",81,92,41,522,"Lisa Edelstein",1000,104148781,"Anjelica Huston","Daddy Day Care ",49486,4050,"Jeff Garlin",116,"PG",6e+07,2003,955,5.5,886,"Comedy"
"Lawrence Guterman",105,87,6,405,"Elizabeth Perkins",3000,93375151,"Carol Ann Susi","Cats & Dogs ",46031,4171,"Miriam Margolyes",235,"PG",6e+07,2001,664,5.2,0,"Comedy_Action"
"F. Gary Gray",155,111,473,82,"Charlize Theron",26000,106126012,"Jason Statham","The Italian Job ",285623,35084,"Jimmy Shubert",497,"PG-13",6e+07,2003,9000,7,0,"Thriller_Crime_Action"
"Marc Lawrence",118,101,30,268,"Alicia Witt",1000,93307796,"Dorian Missick","Two Weeks Notice ",85673,2636,"Dana Ivey",269,"PG-13",6e+07,2002,976,6.1,0,"Romance_Comedy"
"Eric Darnell",131,83,35,754,"Woody Allen",13000,90646554,"Sylvester Stallone","Antz ",124641,25788,"Anne Bancroft",289,"PG",1.05e+08,1998,11000,6.6,0,"Comedy_Action"
"Peter Billingsley",166,113,0,721,"Kristin Davis",4000,109176215,"Jon Favreau","Couples Retreat ",83506,8172,"Tasha Smith",144,"PG-13",6e+07,2009,722,5.5,0,"Comedy"
"Tony Scott",60,107,12000,695,"Robert Duvall",10000,82670733,"Tom Cruise","Days of Thunder ",60476,14006,"Randy Quaid",97,"PG-13",6e+07,1990,3000,5.9,0,"Drama_Action"
"Adam Shankman",77,94,163,2000,"Tom Welling",12000,82569532,"Taylor Lautner","Cheaper by the Dozen 2 ",42737,20348,"Alyson Stoner",128,"PG",6e+07,2005,3000,5.4,781,"Comedy_Action"
"Wes Ball",249,132,47,240,"Lili Taylor",988,81687587,"Ki Hong Lee","The Scorch Trials ",138246,2517,"Rosa Salazar",360,"PG-13",6.1e+07,2015,960,6.4,24000,"Thriller_Action"
"Ryan Murphy",213,140,708,745,"Julia Roberts",11000,80574010,"James Franco","Eat Pray Love ",63493,20440,"Billy Crudup",302,"PG-13",6e+07,2010,8000,5.7,26000,"Romance_Drama"
"Brett Ratner",121,125,420,627,"Don Cheadle",12000,75764085,"Nicolas Cage","The Family Man ",85844,16646,"Amber Valletta",322,"PG-13",6e+07,2000,3000,6.7,0,"Romance_Comedy_Drama_Action"
"Robert Schwentke",315,111,124,357,"Morgan Freeman",13000,90356857,"Bruce Willis","RED ",238916,24928,"Jaqueline Fleming",328,"PG-13",5.8e+07,2010,11000,7.1,32000,"Comedy_Thriller_Crime_Action"
"Oliver Stone",171,156,0,1000,"Dennis Quaid",14000,75530832,"Al Pacino","Any Given Sunday ",97047,20761,"LL Cool J",452,"R",5.5e+07,1999,2000,6.8,0,"Drama"
"Robert Redford",96,170,0,380,"Kristin Scott Thomas",19000,75370763,"Scarlett Johansson","The Horse Whisperer ",32353,20683,"Jessalyn Gilsig",263,"PG-13",6e+07,1998,1000,6.5,0,"Romance_Drama"
"Michael Mann",299,120,0,680,"Jada Pinkett Smith",10000,100003492,"Tom Cruise","Collateral ",293662,13581,"Debi Mazar",836,"R",6.5e+07,2004,851,7.6,0,"Drama_Thriller_Crime"
"Chuck Russell",167,100,55,416,"Roger Rees",12000,90341670,"Dwayne Johnson","The Scorpion King ",102129,14611,"Bernard Hill",432,"PG-13",6e+07,2002,1000,5.5,0,"Thriller_Action"
"Jay Russell",125,115,13,579,"Jay Hernandez",2000,74540762,"Billy Burke","Ladder 49 ",48753,4496,"Jacinda Barrett",323,"PG-13",5.5e+07,2004,1000,6.5,0,"Drama_Thriller_Action"
"Christopher McQuarrie",387,130,188,1000,"Robert Duvall",10000,80033643,"Tom Cruise","Jack Reacher ",226570,16385,"David Oyelowo",448,"PG-13",6e+07,2012,3000,7,38000,"Thriller_Crime_Action"
"Renny Harlin",199,105,212,811,"Michael Rapaport",1000,73648142,"LL Cool J","Deep Blue Sea ",99043,3697,"Saffron Burrows",643,"R",6e+07,1999,975,5.8,0,"Thriller_Action"
"Steven Soderbergh",436,106,0,175,"Monique Gabriela Curnen",13000,75638743,"Matt Damon","Contagion ",180479,13634,"Griffin Kane",411,"PG-13",6e+07,2011,240,6.6,42000,"Drama_Thriller"
"David McNally",73,89,18,226,"Dyan Cannon",658,66734992,"Estella Warren","Kangaroo Jack ",23476,1233,"Bill Hunter",181,"PG",6e+07,2003,257,4.4,858,"Comedy_Crime_Action"
"M. Night Shyamalan",323,91,0,751,"Alan Ruck",11000,64505912,"Zooey Deschanel","The Happening ",163130,13654,"Kristen Connolly",1264,"R",4.8e+07,2008,946,5,6000,"Thriller_Action"
"Tony Scott",171,146,12000,451,"Radha Mitchell",18000,77862546,"Denzel Washington","Man on Fire ",266310,20454,"Giancarlo Giannini",690,"R",7e+07,2004,992,7.7,14000,"Drama_Thriller_Crime_Action"
"Brian Robbins",76,98,48,722,"Joel David Moore",21000,61112916,"Robert Downey Jr.","The Shaggy Dog ",14888,24664,"Kristin Davis",83,"PG",5e+07,2006,936,4.4,747,"Comedy_Action"
"Todd Phillips",173,101,480,767,"Carmen Electra",881,88200225,"Snoop Dogg","Starsky & Hutch ",120795,3943,"Fred Williamson",308,"PG-13",6e+07,2004,869,6.1,0,"Comedy_Crime"
"Brian Levant",81,94,32,626,"Harvey Korman",854,60573641,"Jim Belushi","Jingle All the Way ",68406,4530,"Jake Lloyd",162,"PG",6e+07,1996,628,5.4,0,"Comedy"
"Guillermo del Toro",242,132,0,160,"Rupert Evans",366,59035104,"James Babson","Hellboy ",244566,1112,"Brian Steele",597,"PG-13",6.6e+07,2004,334,6.8,0,"Thriller_Action"
"Steven Zaillian",110,115,234,521,"Kathleen Quinlan",3000,56702901,"Robert Duvall","A Civil Action ",23302,4713,"Sydney Pollack",181,"PG-13",6e+07,1998,552,6.5,1000,"Drama"
"Chris Butler",328,92,28,586,"Kodi Smit-McPhee",10000,55994557,"Anna Kendrick","ParaNorman ",72287,13597,"Elaine Stritch",176,"PG",6e+07,2012,884,7,12000,"Comedy_Action"
"Michael Caton-Jones",83,124,105,460,"Bruce Willis",24000,54910560,"J.K. Simmons","The Jackal ",88225,38227,"Sophie Okonedo",227,"R",6e+07,1997,13000,6.3,0,"Thriller_Crime_Action"
"John Woo",196,119,610,716,"Joe Morton",834,53789313,"Ivana Milicevic","Paycheck ",89816,3637,"Callum Rennie",347,"PG-13",6e+07,2003,780,6.3,0,"Thriller_Crime_Action"
"Jon Avnet",34,124,50,672,"Stockard Channing",1000,51045801,"Joe Mantegna","Up Close & Personal ",11370,3653,"Raymond Cruz",54,"PG-13",6e+07,1996,944,6.1,829,"Romance_Drama"
"Kevin Donovan",81,98,11,107,"Debi Mazar",966,50189179,"Romany Malco","The Tuxedo ",61966,2018,"Ritchie Coster",207,"PG-13",6e+07,2002,680,5.3,797,"Comedy_Action"
"Geoff Murphy",47,92,14,488,"Brenda Bakke",789,50024083,"Peter Greene","Under Siege 2: Dark Territory ",35918,2318,"Patrick Kilpatrick",126,"R",6e+07,1995,520,5.4,1000,"Thriller_Action"
"Kenneth Branagh",313,105,0,288,"Nonso Anozie",539,50549107,"Colm Feore","Jack Ryan: Shadow Recruit ",99035,1411,"Gemma Chan",289,"PG-13",6e+07,2014,394,6.2,17000,"Drama_Thriller_Action"
"David O. Russell",315,124,737,14000,"Robert De Niro",34000,56443482,"Jennifer Lawrence","Joy ",75329,75793,"Bradley Cooper",256,"PG-13",6e+07,2015,22000,6.6,24000,"Comedy_Drama"
"Jean-Pierre Jeunet",223,116,0,672,"Michael Wincott",1000,47748610,"Gary Dourdan","Alien: Resurrection ",170179,3090,"Raymond Cruz",656,"R",7.5e+07,1997,720,6.3,0,"Thriller_Action"
"Antoine Fuqua",198,124,845,295,"Ned Beatty",650,46975183,"Tate Donovan","Shooter ",256213,1640,"Louis Ferreira",338,"R",6.1e+07,2007,467,7.2,0,"Drama_Thriller_Crime_Action"
"Graham Annable",219,96,7,642,"Dee Bradley Baker",874,50807639,"Isaac Hempstead Wright","The Boxtrolls ",40883,3151,"Tracy Morgan",122,"PG",6e+07,2014,668,6.8,11000,"Comedy_Action"
"Griffin Dunne",92,104,165,944,"Dianne Wiest",1000,46611204,"Goran Visnjic","Practical Magic ",55749,4294,"Stockard Channing",257,"PG-13",4.8e+07,1998,967,6.1,0,"Romance_Comedy_Drama_Action"
"John Pasquin",111,115,11,642,"Diedrich Bader",1000,48472213,"Eileen Brennan","Miss Congeniality 2: Armed and Fabulous ",51252,4305,"Treat Williams",156,"PG-13",4.5e+07,2005,759,5,621,"Comedy_Crime_Action"
"Rob Bowman",138,101,38,11000,"Gerard Butler",23000,43060566,"Christian Bale","Reign of Fire ",107859,53024,"Matthew McConaughey",569,"PG-13",6e+07,2002,18000,6.2,0,"Thriller_Action"
"Ruben Fleischer",415,113,181,300,"Brandon Molale",33000,45996718,"Ryan Gosling","Gangster Squad ",173530,34738,"Wade Williams",264,"R",6e+07,2013,301,6.7,40000,"Drama_Thriller_Crime_Action"
"Harold Ramis",170,100,11000,485,"Oliver Platt",10000,43337279,"Olivia Wilde","Year One ",76770,12258,"Xander Berkeley",203,"PG-13",6e+07,2009,1000,4.9,0,"Comedy_Action"
"Clint Eastwood",306,134,16000,204,"Morgan Freeman",13000,37479778,"Matt Damon","Invictus ",124222,24458,"Leleti Khumalo",259,"PG-13",6e+07,2009,11000,7.4,23000,"Drama"
"Donald Petrie",49,94,80,230,"Ray Walston",1000,36830057,"Steven Anthony Lawrence","My Favorite Martian ",10883,2151,"Michael Lerner",73,"PG",6.5e+07,1999,417,4.9,448,"Comedy_Action"
"Clark Johnson",161,107,69,206,"David Rasche",310,36279230,"Blair Brown","The Sentinel ",42144,1352,"Martin Donovan",213,"PG-13",6e+07,2006,219,6.1,690,"Thriller_Crime_Action"
"Stuart Baird",172,116,53,906,"LeVar Burton",27000,43119879,"Tom Hardy","Star Trek: Nemesis ",58450,31224,"Jonathan Frakes",842,"PG-13",6e+07,2002,1000,6.4,0,"Thriller_Action"
"Harold Ramis",105,96,11000,236,"Cathy Moriarty",22000,32122249,"Robert De Niro","Analyze That ",69319,22889,"Joe Viterelli",138,"R",6e+07,2002,394,5.9,846,"Comedy_Crime"
"Jon Avnet",198,101,50,1000,"Al Pacino",22000,40076438,"Robert De Niro","Righteous Kill ",73368,38809,"50 Cent",248,"R",6e+07,2008,14000,6,0,"Drama_Thriller_Crime_Action"
"Harold Becker",79,111,17,652,"Miko Hughes",13000,32940507,"Bruce Willis","Mercury Rising ",54314,16536,"Carrie Preston",127,"R",6e+07,1998,968,6.1,0,"Drama_Thriller_Crime_Action"
"Robert Redford",125,126,0,9000,"Will Smith",13000,30695227,"Matt Damon","The Legend of Bagger Vance ",45296,34774,"Charlize Theron",267,"PG-13",6e+07,2000,10000,6.7,0,"Drama_Action"
"Cameron Crowe",149,152,488,947,"Zooey Deschanel",22000,32522352,"Philip Seymour Hoffman","Almost Famous ",207287,36897,"Michael Angarano",822,"R",6e+07,2000,11000,7.9,15000,"Comedy_Drama_Action"
"Lee Tamahori",77,101,93,218,"Nona Gaye",287,26082914,"Sunny Mabrey","xXx: State of the Union ",51349,993,"Xzibit",213,"PG-13",8.7e+07,2005,233,4.3,0,"Thriller_Crime_Action"
"Scott Stewart",225,87,124,77,"Alan Dale",865,29136626,"Josh Wingate","Priest ",97089,1417,"Jacob Hopkins",233,"PG-13",6e+07,2011,441,5.7,20000,"Thriller_Action"
"Patrick Gilmore",98,85,0,82,"Adriano Giannini",11000,26288320,"Brad Pitt","Sinbad: Legend of the Seven Seas ",36144,11301,"Timothy West",91,"PG",6e+07,2003,102,6.7,880,"Romance_Comedy_Drama_Action"
"Joss Whedon",703,173,0,19000,"Robert Downey Jr.",26000,623279547,"Chris Hemsworth","The Avengers ",995415,87697,"Scarlett Johansson",1722,"PG-13",2.2e+08,2012,21000,8.1,123000,"Action"
